epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
29,6027.61,1.17234,1.09797,0.03374,0.02942,0.84004,0.71593,0.81053,0.57891,1.03377,1.03785,0.04236,0.02847,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,6229.19,1.16811,1.09415,0.03386,0.0285,0.84625,0.71228,0.81118,0.57953,1.03258,1.03247,0.04233,0.02828,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,6430.45,1.17179,1.10083,0.03412,0.02893,0.84324,0.71485,0.81168,0.58045,1.03055,1.03186,0.04234,0.02801,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,6632.13,1.1708,1.10175,0.03434,0.02991,0.84282,0.71521,0.81228,0.58126,1.02916,1.02853,0.04232,0.0279,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,6835.12,1.16504,1.08913,0.034,0.02959,0.84659,0.71298,0.81237,0.58149,1.028,1.02591,0.04234,0.028,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,7036.72,1.16877,1.09764,0.03351,0.02992,0.84901,0.71284,0.81297,0.58235,1.02622,1.02456,0.0423,0.02784,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,7238.86,1.16703,1.08786,0.03361,0.02944,0.84461,0.71794,0.81354,0.58271,1.02452,1.02193,0.04226,0.02782,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,7441.62,1.1651,1.08667,0.03395,0.03032,0.84289,0.71814,0.81382,0.5832,1.02446,1.02016,0.04223,0.02767,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,7643.57,1.16302,1.08234,0.03377,0.02945,0.84342,0.71816,0.8141,0.58354,1.02394,1.02033,0.0422,0.02751,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,7846.3,1.1583,1.07585,0.03384,0.02849,0.84805,0.71575,0.81408,0.58367,1.02327,1.02109,0.0422,0.02739,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,8048.05,1.15379,1.06103,0.03357,0.0282,0.84679,0.71655,0.81412,0.58366,1.02261,1.01965,0.0422,0.02735,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,8249.58,1.15752,1.06686,0.03385,0.02873,0.85173,0.71394,0.81442,0.58388,1.02304,1.01934,0.0422,0.02734,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
