epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
29,36038.2,1.12142,1.28225,0.0295,0.00726,0.66623,0.53276,0.5472,0.4211,1.02154,1.99239,0.02557,0.01554,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,37254.7,1.12304,1.28554,0.02943,0.00713,0.66698,0.53261,0.54815,0.422,1.02183,1.99105,0.02554,0.01572,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,38470.2,1.12165,1.28759,0.0295,0.00747,0.66554,0.53433,0.54891,0.42254,1.02152,1.98947,0.02553,0.01563,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,39685.9,1.12017,1.27922,0.02944,0.00727,0.66632,0.53582,0.54965,0.42317,1.0215,1.97897,0.02549,0.01552,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,40901.5,1.11625,1.27011,0.02954,0.00703,0.66908,0.53563,0.55051,0.42391,1.02057,1.97971,0.02546,0.01553,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,42117.4,1.11723,1.26971,0.02948,0.00746,0.66597,0.53874,0.55095,0.42423,1.02046,1.97899,0.02545,0.01542,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,43335.6,1.11435,1.26785,0.02932,0.007,0.66648,0.5401,0.55143,0.42464,1.01918,1.97485,0.0254,0.01542,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,44552,1.11245,1.26402,0.02957,0.00703,0.66691,0.54074,0.5517,0.42488,1.01939,1.97243,0.02539,0.01519,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,45769.1,1.11216,1.26474,0.02951,0.00692,0.66953,0.53969,0.55225,0.42535,1.01764,1.97058,0.02539,0.01516,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,46985.2,1.11245,1.26249,0.02937,0.00715,0.67058,0.53949,0.55214,0.42524,1.01736,1.97086,0.02538,0.01522,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,48203.1,1.11006,1.25634,0.02944,0.00703,0.67013,0.53888,0.55189,0.42522,1.01739,1.97699,0.0254,0.01555,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,49420.4,1.10769,1.25017,0.02941,0.00687,0.66921,0.53934,0.55179,0.42502,1.01644,1.97309,0.0254,0.01548,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,50636.5,1.1098,1.25453,0.02964,0.00713,0.66908,0.54091,0.55216,0.42555,1.0151,1.9749,0.02541,0.01545,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,51852.5,1.10565,1.24578,0.02955,0.00666,0.66664,0.54252,0.55267,0.42578,1.01498,1.97094,0.02544,0.01574,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,53070.7,1.10383,1.24404,0.0294,0.00658,0.66658,0.54239,0.553,0.42637,1.01419,1.96199,0.02542,0.01557,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,54289.1,1.10157,1.24149,0.02974,0.00664,0.66886,0.54313,0.55359,0.42695,1.01432,1.95649,0.02543,0.01575,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,55509.2,1.10168,1.24108,0.02932,0.00677,0.67188,0.54318,0.55462,0.42766,1.01368,1.95825,0.02543,0.01583,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,56726.6,1.10241,1.24206,0.02926,0.00685,0.66965,0.54471,0.55501,0.42808,1.01345,1.95449,0.02541,0.01584,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,57942.6,1.10103,1.23863,0.02959,0.00651,0.66959,0.54515,0.55577,0.42862,1.01365,1.95178,0.02543,0.01585,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,59158.5,1.09799,1.23478,0.02957,0.00671,0.67046,0.54467,0.55586,0.42879,1.01286,1.95231,0.02543,0.0159,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,60376.2,1.09791,1.23077,0.02938,0.00673,0.67181,0.54414,0.55628,0.42898,1.01217,1.95154,0.02542,0.01597,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,61595.4,1.09658,1.2304,0.02924,0.00652,0.67313,0.54343,0.55667,0.42912,1.01051,1.95214,0.02542,0.01577,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,62813.4,1.0944,1.22331,0.02938,0.00644,0.67179,0.54583,0.55703,0.42939,1.01127,1.95688,0.02543,0.01581,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,64030.4,1.09455,1.22365,0.02925,0.00676,0.67643,0.54415,0.55755,0.42981,1.01182,1.95358,0.02546,0.01592,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,65250.1,1.09318,1.22249,0.02936,0.00644,0.67673,0.54565,0.55802,0.43014,1.01113,1.95208,0.02549,0.01605,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,66467.4,1.09002,1.21486,0.02933,0.00654,0.67684,0.54627,0.5586,0.43067,1.01054,1.94887,0.02548,0.01591,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,67683.1,1.08558,1.20574,0.0296,0.00662,0.67562,0.54873,0.55899,0.43102,1.00963,1.9498,0.0255,0.0159,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,68901.1,1.08685,1.20978,0.02959,0.00619,0.67838,0.54843,0.55929,0.43128,1.00839,1.95256,0.0255,0.01584,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,70118.3,1.08653,1.20875,0.02974,0.00639,0.67667,0.54914,0.55997,0.43171,1.00816,1.95263,0.02551,0.01589,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,71336.8,1.0868,1.20764,0.02947,0.00668,0.68079,0.54611,0.56009,0.43186,1.00698,1.95574,0.02549,0.01578,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,72557.1,1.08215,1.20075,0.02942,0.00631,0.68096,0.54659,0.56075,0.43219,1.00641,1.95433,0.02547,0.0158,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,73776.9,1.08161,1.19856,0.02948,0.00631,0.68255,0.54626,0.56106,0.43246,1.00534,1.95889,0.02544,0.01596,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,74998.3,1.07757,1.18743,0.02912,0.0062,0.68111,0.54879,0.56151,0.43287,1.00484,1.95755,0.02543,0.01594,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,76219.4,1.07765,1.18911,0.02923,0.00605,0.68012,0.5491,0.56197,0.43334,1.00382,1.96222,0.02537,0.01585,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,77441.6,1.0754,1.18499,0.0294,0.00614,0.6782,0.55155,0.56208,0.43358,1.00228,1.96208,0.02538,0.01611,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,78661,1.0744,1.18488,0.02918,0.006,0.67843,0.55265,0.56266,0.43416,1.00167,1.96713,0.02536,0.01591,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,79883.6,1.07564,1.18239,0.02931,0.00606,0.67905,0.553,0.56303,0.43439,1.00103,1.96501,0.02532,0.01572,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
