epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,237.02,0.90129,0.62659,0.01104,0.03105,0.93826,0.81928,0.89902,0.65217,1.0107,0.99751,0.01625,0.04656,0.00998914,0.00332971,0.00998914,0.00332971,0.00998914,0.00332971,0.00998914,0.00332971
2,430.906,0.90944,0.61959,0.01093,0.03067,0.92785,0.82133,0.89661,0.65378,1.03014,1.01925,0.01584,0.04727,0.0197912,0.00659708,0.0197912,0.00659708,0.0197912,0.00659708,0.0197912,0.00659708
3,609.247,0.9334,0.65624,0.01106,0.03386,0.92661,0.81077,0.891,0.63028,1.04734,1.03409,0.0161,0.04994,0.0293954,0.00979845,0.0293954,0.00979845,0.0293954,0.00979845,0.0293954,0.00979845
4,782.372,0.96793,0.71146,0.01117,0.03713,0.92048,0.80627,0.88333,0.62829,1.06474,1.03315,0.01639,0.05262,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,955.699,0.97104,0.6945,0.01088,0.03658,0.91838,0.78598,0.87557,0.63381,1.07693,1.21112,0.01596,0.05927,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,1128.65,0.95604,0.67209,0.0109,0.03604,0.92465,0.80836,0.8894,0.62839,1.06699,0.99628,0.01573,0.05223,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,1301.82,0.96276,0.69013,0.01094,0.03561,0.92478,0.80272,0.88551,0.64309,1.05138,0.98088,0.0159,0.0485,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,1474.97,0.97368,0.70028,0.01102,0.03659,0.92833,0.80279,0.8884,0.63862,1.0656,1.12369,0.01636,0.04985,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,1647.79,0.96481,0.68853,0.01099,0.03578,0.92187,0.80873,0.88525,0.62942,1.06773,1.04915,0.01634,0.0522,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,1821.02,0.9607,0.69073,0.01118,0.03498,0.92018,0.8072,0.88389,0.63755,1.0523,1.07946,0.01662,0.05137,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,1993.84,0.95198,0.66173,0.01114,0.03619,0.9293,0.80334,0.88824,0.63326,1.03782,1.05068,0.01644,0.0475,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,2166.72,0.95355,0.67118,0.01102,0.03445,0.92673,0.80687,0.8894,0.65279,1.06229,1.04063,0.01622,0.04798,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,2339.41,0.95022,0.67268,0.01085,0.03558,0.92694,0.8113,0.89152,0.63308,1.04187,1.02902,0.01574,0.04735,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,2512.43,0.94561,0.66544,0.01056,0.03547,0.92666,0.80964,0.88741,0.63538,1.05761,1.00573,0.01601,0.04914,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,2685.72,0.94967,0.66625,0.01068,0.03503,0.92641,0.80379,0.88872,0.63217,1.03962,1.04683,0.01591,0.04829,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,2858.87,0.94943,0.67192,0.01075,0.03673,0.92582,0.80948,0.89178,0.64725,1.04634,1.00918,0.01571,0.0528,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,3031.91,0.93838,0.65105,0.01029,0.03563,0.92928,0.81068,0.89281,0.63631,1.05497,1.02349,0.0154,0.05341,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,3204.91,0.93843,0.65696,0.01083,0.03349,0.92958,0.81245,0.89318,0.64002,1.03914,1.07666,0.01573,0.04622,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,3377.91,0.92384,0.64188,0.01101,0.03298,0.93069,0.81056,0.89078,0.63615,1.04323,1.1041,0.01629,0.04506,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,3550.81,0.93055,0.63908,0.01077,0.03374,0.93182,0.81444,0.89393,0.63823,1.044,1.0296,0.01668,0.04786,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,3723.97,0.92907,0.64442,0.01084,0.03354,0.92805,0.81313,0.89242,0.63902,1.04438,1.09466,0.01641,0.05109,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
